git id,name,symbol
1950,Hive Project,HVN
1951,Vsync,VSX
1952,Magnetcoin,MAGN
1954,Moeda Loyalty Points,MDA
1955,Neblio,NEBL
1956,VIVO,VIVO
1958,TRON,TRX
1959,Oceanlab,OCL
1961,imbrex,REX
1962,BuzzCoin,BUZZ
1963,Credo,CREDO
1964,DROXNE,DRXNE
1965,Bowhead,AHT
1966,Decentraland,MANA
1967,Indorse Token,IND
1968,XPA,XPA
1969,Sociall,SCL
1970,ATBCoin,ATB
1971,iQuant,IQT
1973,Ethereum Dark,ETHD
1974,Propy,PRO
1975,ChainLink,LINK
1976,Blackmoon,BMC
1979,Wi Coin,WIC
1980,Elixir,ELIX
1981,Billionaire Token,XBL
1982,Kyber Network,KNC
1983,VIBE,VIBE
1984,Substratum,SUB
1985,Chronologic,DAY
1986,CHIPS,CHIPS
1987,CryptoInsight,TKR
1988,Lampix,PIX
1989,COSS,COSS
1990,BitDice,CSNO
1991,Rivetz,RVT
1993,Kin,KIN
1994,Interzone,ITZ
1995,Target Coin,TGT
1996,SALT,SALT
1998,Ormeus Coin,ORME
1999,Kolion,KLN
2000,Musiconomi,MCI
2001,ColossusXT,COLX
2002,TrezarCoin,TZC
2004,HODL Bucks,HDLB
2005,Obsidian,ODN
2006,Cobinhood,COB
2007,Regalcoin,REC
2008,MSD,MSD
2009,Bismuth,BIS
2010,Cardano,ADA
2011,Tezos,XTZ
2012,Voise,VOISE
2013,Infinity Economics,XIN
2015,ATMChain,ATM
2017,KickCoin,KICK
2018,EncryptoTel [ETH],ETT
2019,Viberate,VIB
2021,RChain,RHOC
2022,Internxt,INXT
2024,WhaleCoin,WHL
2025,FLiK,FLIK
2026,EthBet,EBET
2027,Cryptonex,CNX
2029,Wild Crypto,WILD
2030,REAL,REAL
2031,Hubii Network,HBT
2032,Crystal Clear ,CCT
2033,BridgeCoin,BCO
2034,Everex,EVX
2036,PayPie,PPP
2037,AirToken,AIR
2038,PoSToken,POS
2039,Senderon,SDRN
2040,ALIS,ALIS
2041,BitcoinZ,BTCZ
2042,HelloGold,HGT
2043,Cindicator,CND
2044,Enigma,ENG
2045,Coimatic 3.0,CTIC3
2046,Bastonet,BSN
2047,Zeusshield,ZSC
2048,Ethereum Cash,ECASH
2049,CORION,COR
2050,Swisscoin,SIC
2051,Authorship,ATS
2053,Royal Kingdom Coin,RKC
2054,Akuya Coin,AKY
2055,ExchangeN,EXN
2056,PiplCoin,PIPL
2057,Eidoo,EDO
2058,AirSwap,AST
2059,BitSoar,BSR
2060,Change,CAG
2061,BlockMason Credit Protocol,BCPT
2062,Aion,AION
2063,Tracto,TRCT
2064,Maecenas,ART
2065,XGOX,XGOX
2066,Everus,EVR
2067,Dutch Coin,DUTCH
2069,Open Trading Network,OTN
2070,DomRaider,DRT
2071,Request Network,REQ
2072,SegWit2x,B2X
2074,Ethereum Gold,ETG
2076,Blue Protocol,BLUE
2077,Runners,RUNNERS
2078,LIFE,LIFE
2079,Hedge,HDG
2080,Modum,MOD
2081,Ambrosus,AMB
2082,ICOS,ICOS
2083,Bitcoin Gold,BTG
2087,KuCoin Shares,KCS
2088,EXRNchain,EXRN
2089,ClearPoll,POLL
2090,LATOKEN,LA
2091,Exchange Union,XUC
2092,Nuls,NULS
2093,Bitcoin Red,BTCRED
2094,Paragon,PRG
2095,BOScoin,BOS
2096,Ripio Credit Network,RCN
2098,Mercury Protocol,GMT
2099,ICON,ICX
2100,JavaScript Token,JS
2101,Ethereum Lite,ELITE
2103,Intelligent Trading Foundation,ITT
2104,iEthereum,IETH
2105,Pirl,PIRL
2106,Xenon,XNN
2107,LUXCoin,LUX
2109,Network Token,NTWK
2110,Dovu,DOVU
2112,Red Pulse,RPX
2114,BT2 [CST],BT2
2115,PlayerCoin,PLACO
2117,Roofs,ROOFS
2118,FAPcoin,FAP
2119,BTCMoon,BTCM
2120,Etherparty,FUEL
2122,Ellaism,ELLA
2123,Vulcano,VULC
2124,Qvolta,QVT
2125,Russian Miner Coin,RMC
2126,FlypMe,FYP
2127,eBitcoin,EBTC
2129,Bitbase,BTBc
2130,Enjin Coin,ENJ
2132,Power Ledger,POWR
2134,Grid+,GRID
2135,Revain,R
2136,ATLANT,ATL
2137,Electroneum,ETN
2138,High Gain,HIGH
2139,MinexCoin,MNX
2142,FORCE,FOR
2143,Streamr DATAcoin,DATA
2144,SHIELD,XSH
2146,Pure,PURE
2147,ELTCOIN,ELTCOIN
2148,Desire,DSR
2149,Unikoin Gold,UKG
2150,Credence Coin,CRDNC
2151,Autonio,NIO
2152,CarTaxi Token,CTX
